,Title,Authors,Journal,Year,Link Abstract,Link HTML,Link PDF
47,Goos-Hänchen and Imbert-Fedorov shifts for Gaussian beams impinging on graphene-coated surfaces,"Grosche, Simon; Ornigotti, Marco; Szameit, Alexander",Optics Express 23(23) 30195-30203 ,2015,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-23-23-30195&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-23-23-30195&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-23-23-30195&seq=0&origin=search
48,Observation of Goos-Hänchen shifts in metallic reflection,"Merano, M.; Aiello, A.; ’t Hooft, G.W.; van Exter, M. P.; Eliel, E. R.; Woerdman, J. P.",Optics Express 15(24) 15928-15934 ,2007,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-15-24-15928&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-15-24-15928&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-15-24-15928&seq=0&origin=search
49,Goos–Hanchen and Imbert–Fedorov shifts for Hermite–Gauss beams,"Prajapati, Chandra; Ranganathan, D.",Journal of the Optical Society of America A 29(7) 1377-1382 ,2012,https://www.osapublishing.org/josaa/abstract.cfm?uri=josaa-29-7-1377&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-29-7-1377&seq=0&html=true&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-29-7-1377&seq=0&origin=search
50,Simultaneous weak value amplification of angular Goos–Hänchen and Imbert–Fedorov shifts in partial reflection,"Goswami, S.; Pal, M.; Nandi, A.; Panigrahi, P. K.; Ghosh, N.",Optics Letters 39(21) 6229-6232 ,2014,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-39-21-6229&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-39-21-6229&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-39-21-6229&seq=0&origin=search
51,Measurement of the Goos-Hänchen shift at grazing incidence using Lloyd’s mirror,"Rhodes, D. J.; Carniglia, C. K.",Journal of the Optical Society of America 67(5) 679-683 ,1977,https://www.osapublishing.org/josa/abstract.cfm?uri=josa-67-5-679&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-67-5-679&seq=0&html=true&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-67-5-679&seq=0&origin=search
52,Large Enhancement of Nonlinear Goos-Hänchen Shifts and Optical Bistability due to Surface Plasmon Excitations,"Kim, Kihong","Nonlinear Optics: Materials, Fundamentals and Applications, Paper# NW4A.39 ",2015,https://www.osapublishing.org/abstract.cfm?uri=nlo-2015-NW4A.39&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=nlo-2015-NW4A.39&seq=0&origin=search
53,Goos–Hänchen and Imbert–Fedorov shifts of an electromagnetic wave packet by a moving object,"Wang, Hailei; Zhang, Xiangdong",Journal of the Optical Society of America B 29(6) 1218-1225 ,2012,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-29-6-1218&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-29-6-1218&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-29-6-1218&seq=0&origin=search
54,Goos–Hänchen and Imbert–Fedorov shifts at the interface of ordinary dielectric and topological insulator,"Liu, Fen; Xu, Jingping; Song, Ge; Yang, Yaping",Journal of the Optical Society of America B 30(5) 1167-1172 ,2013,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-30-5-1167&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-30-5-1167&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-30-5-1167&seq=0&origin=search
55,Goos–Hänchen shift of partially coherent light fields in double quantum dots,"Abbas, Muqaddar; Ziauddin; Qamar, Sajid",Journal of the Optical Society of America B 34(2) 245-250 ,2017,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-34-2-245&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-34-2-245&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-34-2-245&seq=0&origin=search
56,Large negative Goos-Hänchen shift from a wedge-shaped thin film,"Bai, Jianping; Zhang, Yaoju",Chinese Optics Letters 7(9) 845-848 ,2009,https://www.osapublishing.org//col/abstract.cfm?uri=col-7-9-845&origin=search,,https://www.osapublishing.org//col/viewmedia.cfm?URI=col-7-9-845&seq=0&origin=search
57,Goos–Hänchen induced vector eigenmodes in a dome cavity,"Foster, David H.; Cook, Andrew K.; Nöckel, Jens U.",Optics Letters 32(12) 1764-1766 ,2007,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-32-12-1764&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-32-12-1764&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-32-12-1764&seq=0&origin=search
58,Goos-Hänchen shift for a rough metallic mirror,"Merano, M.; Götte, J. B.; Aiello, A.; van Exter, M. P.; Woerdman, J. P.",Optics Express 17(13) 10864-10870 ,2009,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-17-13-10864&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-17-13-10864&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-17-13-10864&seq=0&origin=search
59,"Polarization-modulated, Giant Goos-Hanchen Shift Sensing for Common Mode Drift Suppression","Wan, Yuhang; Zheng, Zheng; Li, Shuna; Dong, Shaolin; Liu, Jiansheng","CLEO: Applications and Technology, Paper# JTu4A.105 ",2013,https://www.osapublishing.org/abstract.cfm?uri=cleo_at-2013-JTu4A.105&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=cleo_at-2013-JTu4A.105&seq=0&origin=search
60,"Polarization-modulated, Giant Goos-Hanchen Shift Sensing for Common Mode Drift Suppression","Wan, Yuhang; Zheng, Zheng; Li, Shuna; Dong, Shaolin; Liu, Jiansheng","CLEO: Science and Innovations, Paper# JTu4A.105 ",2013,https://www.osapublishing.org/abstract.cfm?uri=cleo_si-2013-JTu4A.105&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=cleo_si-2013-JTu4A.105&seq=0&origin=search
61,"Polarization-modulated, Giant Goos-Hanchen Shift Sensing for Common Mode Drift Suppression","Wan, Yuhang; Zheng, Zheng; Li, Shuna; Dong, Shaolin; Liu, Jiansheng","QELS Fundamental Science, Paper# JTu4A.105 ",2013,https://www.osapublishing.org/abstract.cfm?uri=cleo_qels-2013-JTu4A.105&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=cleo_qels-2013-JTu4A.105&seq=0&origin=search
62,Electrically controlled Goos-Hänchen shift of a light beam reflected from the metal-insulator-semiconductor structure,"Luo, Changyou; Guo, Jun; Wang, Qingkai; Xiang, Yuanjiang; Wen, Shuangchun",Optics Express 21(9) 10430-10439 ,2013,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-21-9-10430&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-21-9-10430&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-21-9-10430&seq=0&origin=search
63,Goos-Hänchen shifts of reflected terahertz wave on a COC-air interface,"Li, Qingmei; Zhang, Bo; Shen, Jingling",Optics Express 21(5) 6480-6487 ,2013,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-21-5-6480&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-21-5-6480&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-21-5-6480&seq=0&origin=search
64,Goos–Hänchen shift of the reflected wave through an anisotropic metamaterial containing metal/dielectric nanocomposites,"Huang, Yanyan; Zhao, Bin; Gao, Lei",Journal of the Optical Society of America A 29(7) 1436-1444 ,2012,https://www.osapublishing.org/josaa/abstract.cfm?uri=josaa-29-7-1436&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-29-7-1436&seq=0&html=true&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-29-7-1436&seq=0&origin=search
65,Control of the Goos–Hänchen shifts of a probe light beam using phase tunability of the intracavity medium,"Radmehr, Arash; Sahrai, M.; Sattari, H.",Applied Optics 55(8) 1946-1952 ,2016,https://www.osapublishing.org/ao/abstract.cfm?uri=ao-55-8-1946&origin=search,https://www.osapublishing.org/ao/viewmedia.cfm?URI=ao-55-8-1946&seq=0&html=true&origin=search,https://www.osapublishing.org/ao/viewmedia.cfm?URI=ao-55-8-1946&seq=0&origin=search
66,Goos–Hänchen shifts due to spin-orbit coupling in the carbon nanotube quantum dot nanostructures,"Asadpour, Seyyed Hossein",Applied Optics 56(8) 2201-2208 ,2017,https://www.osapublishing.org/ao/abstract.cfm?uri=ao-56-8-2201&origin=search,https://www.osapublishing.org/ao/viewmedia.cfm?URI=ao-56-8-2201&seq=0&html=true&origin=search,https://www.osapublishing.org/ao/viewmedia.cfm?URI=ao-56-8-2201&seq=0&origin=search
67,Goos–Hänchen and Imbert–Fedorov shifts of polarized vortex beams,"Bliokh, Konstantin Y.; Shadrivov, Ilya V.; Kivshar, Yuri S.",Optics Letters 34(3) 389-391 ,2009,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-34-3-389&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-34-3-389&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-34-3-389&seq=0&origin=search
68,Role of spatial coherence in Goos–Hänchen and Imbert–Fedorov shifts: comment,"Wang, Li-Gang; Liu, Ke-Hong",Optics Letters 37(6) 1056-1056 ,2012,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-37-6-1056&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-37-6-1056&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-37-6-1056&seq=0&origin=search
69,Correction to the theory of the Goos-Hänchen shift by Lotsch,"Carniglia, C. K.",Journal of the Optical Society of America 66(12) 1425-1425 ,1976,https://www.osapublishing.org/josa/abstract.cfm?uri=josa-66-12-1425&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-66-12-1425&seq=0&html=true&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-66-12-1425&seq=0&origin=search
70,Role of spatial coherence in Goos-Hänchen and Imbert–Fedorov shifts,"Aiello, Andrea; Woerdman, J. P.",Optics Letters 36(16) 3151-3153 ,2011,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-36-16-3151&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-16-3151&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-16-3151&seq=0&origin=search
71,Detection of chemical vapor with high sensitivity by using the symmetrical metal-cladding waveguide-enhanced Goos-Hänchen shift,"Nie, Yiyou; Li, Yuanhua; Wu, Zhijing; Wang, Xianping; Yuan, Wen; Sang, Minghuang",Optics Express 22(8) 8943-8948 ,2014,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-22-8-8943&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-22-8-8943&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-22-8-8943&seq=0&origin=search
72,Large and negative Goos–Hänchen shift near the Brewster dip on reflection from weakly absorbing media,"Lai, H. M.; Chan, S. W.",Optics Letters 27(9) 680-682 ,2002,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-27-9-680&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-27-9-680&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-27-9-680&seq=0&origin=search
73,Direct experimental observation of the single reflection optical Goos–Hänchen shift,"Schwefel, H. G. L.; Köhler, W.; Lu, Z. H.; Fan, J.; Wang, L. J.",Optics Letters 33(8) 794-796 ,2008,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-33-8-794&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-33-8-794&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-33-8-794&seq=0&origin=search
74,Tunneling-induced giant Goos–Hänchen shift in quantum wells,"Yang, Wen-Xing; Liu, Shaopeng; Zhu, Zhonghu; Ziauddin; Lee, Ray-Kuang",Optics Letters 40(13) 3133-3136 ,2015,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-40-13-3133&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-40-13-3133&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-40-13-3133&seq=0&origin=search
75,Direct measurement of the negative Goos–Hänchen shift of single reflection in a two-dimensional photonic crystal with negative refractive index,"Jiang, Qiang; Chen, Jiabi; Liang, Binming; Wang, Yan; Hu, Jinbing; Zhuang, Songlin",Optics Letters 42(7) 1213-1216 ,2017,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-42-7-1213&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-42-7-1213&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-42-7-1213&seq=0&origin=search
76,Total internal reflection of a pulsed light beam with consideration of Goos–Hänchen effect,"Liu, Xiangmin; Yang, Qingfen",Journal of the Optical Society of America B 27(11) 2190-2194 ,2010,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-27-11-2190&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-27-11-2190&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-27-11-2190&seq=0&origin=search
77,Study of Goos–Hänchen shifts of partially coherent light fields using a triple quantum dot system in the presence of giant Kerr nonlinearity,"Abbas, Muqaddar; Qamar, Sajid",Journal of the Optical Society of America B 33(7) 1444-1450 ,2016,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-33-7-1444&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-33-7-1444&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-33-7-1444&seq=0&origin=search
78,Direct experimental observation of giant Goos–Hänchen shifts from bandgap-enhanced total internal reflection,"Wan, Yuhang; Zheng, Zheng; Kong, Weijing; Liu, Ya; Lu, Zhiting; Bian, Yusheng",Optics Letters 36(18) 3539-3541 ,2011,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-36-18-3539&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-18-3539&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-18-3539&seq=0&origin=search
79,Measurement of positive and negative Goos–Hänchen effects for metallic gratings near Wood anomalies,"Bonnet, Christophe; Chauvat, Dominique; Emile, Olivier; Bretenaker, Fabien; Le Floch, Albert; Dutriaux, Laurent",Optics Letters 26(10) 666-668 ,2001,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-26-10-666&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-26-10-666&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-26-10-666&seq=0&origin=search
80,Large negative Goos–Hänchen shift from a weakly absorbing dielectric slab,"Wang, Li-Gang; Chen, Hong; Zhu, Shi-Yao",Optics Letters 30(21) 2936-2938 ,2005,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-30-21-2936&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-30-21-2936&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-30-21-2936&seq=0&origin=search
81,Beam reshaping in the occurrence of the Goos–Hänchen shift,"Xiao, Pingping",Journal of the Optical Society of America B 28(8) 1895-1898 ,2011,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-28-8-1895&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-28-8-1895&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-28-8-1895&seq=0&origin=search
82,Experimental observation of the propagation-dependent beam profile distortion and Goos–Hänchen shift under the surface plasmon resonance condition,"Wan, Yuhang; Zheng, Zheng; Zhu, Jinsong",Journal of the Optical Society of America B 28(2) 314-318 ,2011,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-28-2-314&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-28-2-314&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-28-2-314&seq=0&origin=search
83,Role of beam propagation in Goos–Hänchen and Imbert–Fedorov shifts,"Aiello, A.; Woerdman, J. P.",Optics Letters 33(13) 1437-1439 ,2008,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-33-13-1437&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-33-13-1437&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-33-13-1437&seq=0&origin=search
84,Goos–Hänchen and Imbert–Fedorov shifts of a nondiffracting Bessel beam,"Aiello, Andrea; Woerdman, J. P.",Optics Letters 36(4) 543-545 ,2011,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-36-4-543&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-4-543&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-4-543&seq=0&origin=search
85,Weak measurement of the Goos–Hänchen shift,"Jayaswal, G.; Mistura, G.; Merano, M.",Optics Letters 38(8) 1232-1234 ,2013,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-38-8-1232&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-38-8-1232&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-38-8-1232&seq=0&origin=search
86,Simple technique for measuring the Goos–Hänchen effect with polarization modulation and a position-sensitive detector,"Gilles, Hervé; Girard, Sylvain; Hamel, Joseph",Optics Letters 27(16) 1421-1423 ,2002,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-27-16-1421&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-27-16-1421&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-27-16-1421&seq=0&origin=search
87,Goos–Hänchen effect in the dynamics of laser eigenstates,"Dutriaux, Laurent; Le Floch, Albert; Bretenaker, Fabien",Journal of the Optical Society of America B 9(12) 2283-2289 ,1992,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-9-12-2283&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-9-12-2283&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-9-12-2283&seq=0&origin=search
88,Magneto-optical Goos-Hänchen effect in a prism-waveguide coupling structure,"Tang, Tingting; Qin, Jun; Xie, Jianliang; Deng, Longjiang; Bi, Lei",Optics Express 22(22) 27042-27055 ,2014,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-22-22-27042&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-22-22-27042&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-22-22-27042&seq=0&origin=search
89,Detection of subwavelength Goos–Hänchen shifts from near-field intensities: a numerical simulation,"Madrazo, A.; Nieto-Vesperinas, M.",Optics Letters 20(24) 2445-2447 ,1995,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-20-24-2445&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-20-24-2445&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-20-24-2445&seq=0&origin=search
90,Abnormal behaviors of Goos–Hänchen shift in hyperbolic metamaterials made of aluminum zinc oxide materials,"Zhao, Jing; Zhang, Hao; Zhang, Xiangchao; Li, Dahai; Lu, Hongliang; Xu, Min",Photonics Research 1(4) 160-163 ,2013,https://www.osapublishing.org/prj/abstract.cfm?uri=prj-1-4-160&origin=search,https://www.osapublishing.org/prj/viewmedia.cfm?URI=prj-1-4-160&seq=0&html=true&origin=search,https://www.osapublishing.org/prj/viewmedia.cfm?URI=prj-1-4-160&seq=0&origin=search
91,Giant Goos–Hänchen shifts and radiation-induced trapping of Helmholtz solitons at nonlinear interfaces,"Sánchez-Curto, Julio; Chamorro-Posada, Pedro; McDonald, Graham S.",Optics Letters 36(18) 3605-3607 ,2011,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-36-18-3605&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-18-3605&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-18-3605&seq=0&origin=search
92,Negative Goos–Hänchen shift on a concave dielectric interface,"Zhou, L.-M.; Zou, C.-L.; Han, Z.-F.; Guo, G.-C.; Sun, F.-W.",Optics Letters 36(5) 624-626 ,2011,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-36-5-624&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-5-624&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-5-624&seq=0&origin=search
93,Negative Goos–Hänchen shift in periodic media,"Rechtsman, Mikael C.; Kartashov, Yaroslav V.; Setzpfandt, Frank; Trompeter, Henrike; Torner, Lluis; Pertsch, Thomas; Peschel, Ulf; Szameit, Alexander",Optics Letters 36(22) 4446-4448 ,2011,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-36-22-4446&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-22-4446&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-36-22-4446&seq=0&origin=search
